Name,Quantity,Component
"U1",1," Arduino Uno R3"
"R1",1," Photoresistor"
"R2, R3, R4, R6, R7, R8",6,"1 kΩ Resistor"
"D1, D5",2,"Red LED"
"PIR1",1,"51.90014574356587 , -155.85769403141055 , -216.33831382189263 , -143.7380983072097  PIR Sensor"
"K1",1," Relay SPDT"
"P1",1,"7 , 500000000  Power Supply"
"L1",1," Light bulb"
"U2",1," Temperature Sensor [TMP36]"
"PIEZO1",1," Piezo"
"GAS1",1," Gas Sensor"
"M1",1," DC Motor"
"T1",1," NPN Transistor (BJT)"
"R5",1,"220 Ω Resistor"
"D2",1," Diode"
"DIST1",1," Ultrasonic Distance Sensor"
"D3",1,"Green LED"
"D4",1,"Blue LED"
